Id	iOSProductID	AndroidProductID
INT	STRING	STRING
#MAX_ID=400;MAX_RECORD=400;TableType=Index;ProjectActive0=_HTTPAGENT_;		
#ID	商品ID（苹果）	商品ID（安卓）
228	com.wanmei.wmsjzszz.weekpurchase50	and.wmsjzszz.weekpurchase50
229	com.wanmei.wmsjzszz.weekpurchase98	and.wmsjzszz.weekpurchase98
230	com.wanmei.wmsjzszz.act1purchase328	and.wmsjzszz.act1purchase328
231	com.wanmei.wmsjzszz.act1purchase648	and.wmsjzszz.act1purchase648
232	com.wanmei.wmsjzszz.singlepurchase68act1	and.wmsjzszz.singlepurchase68act1
233	com.wanmei.wmsjzszz.singlepurchase648act1	and.wmsjzszz.singlepurchase648act1
234	com.wanmei.wmsjzszz.surprisepurchase30	and.wmsjzszz.surprisepurchase30
235	com.wanmei.wmsjzszz.singlepurchase128act2	and.wmsjzszz.singlepurchase128act2
236	com.wanmei.wmsjzszz.surprisepurchase18	and.wmsjzszz.surprisepurchase18
237	com.wanmei.wmsjzszz.surprisepurchase30	and.wmsjzszz.surprisepurchase30
238	com.wanmei.wmsjzszz.superbook68	and.wmsjzszz.spuerbook68
239	com.wanmei.wmsjzszz.superbook128	and.wmsjzszz.spuerbook128
240	com.wanmei.wmsjzszz.superbook60	and.wmsjzszz.spuerbook60
241	com.wanmei.wmsjzszz.surprisepurchase18	and.wmsjzszz.surprisepurchase18
242	com.wanmei.wmsjzszz.giftbag1	and.wmsjzszz.giftbag1
243	com.wanmei.wmsjzszz.singlepurchase648act2	and.wmsjzszz.singlepurchase648act2
244	com.wanmei.wmsjzszz.yuanbao1	and.wmsjzszz.yuanbao1
245	com.wanmei.wmsjzszz.singlepurchase648act2	and.wmsjzszz.singlepurchase648act2
246	com.wanmei.wmsjzszz.singlepurchase648act2	and.wmsjzszz.singlepurchase648act2
247	com.wanmei.wmsjzszz.act1purchase98	and.wmsjzszz.act1purchase98
248	com.wanmei.wmsjzszz.act1purchase648	and.wmsjzszz.act1purchase648
249	com.wanmei.wmsjzszz.act1purchase50	and.wmsjzszz.act1purchase50
250	com.wanmei.wmsjzszz.act1purchase328	and.wmsjzszz.act1purchase328
251	com.wanmei.wmsjzszz.weekpurchase50	and.wmsjzszz.weekpurchase50
252	com.wanmei.wmsjzszz.weekpurchase98	and.wmsjzszz.weekpurchase98
253	com.wanmei.wmsjzszz.act1purchase328	and.wmsjzszz.act1purchase328
254	com.wanmei.wmsjzszz.act1purchase648	and.wmsjzszz.act1purchase648
255	com.wanmei.wmsjzszz.act1purchase648	and.wmsjzszz.act1purchase648
256	com.wanmei.wmsjzszz.singlepurchase128act1	and.wmsjzszz.singlepurchase128act1
257	com.wanmei.wmsjzszz.singlepurchase328act1	and.wmsjzszz.singlepurchase328act1
258	zsbzcios	zsbzcand
259	com.wanmei.wmsjzszz.act1purchase328	and.wmsjzszz.act1purchase328
260	com.wanmei.wmsjzszz.act1purchase648	and.wmsjzszz.act1purchase648
261	com.wanmei.wmsjzszz.act1purchase648	and.wmsjzszz.act1purchase648
262	com.wanmei.wmsjzszz.act1purchase648	and.wmsjzszz.act1purchase648
263	com.wanmei.wmsjzszz.weekpurchase50	and.wmsjzszz.weekpurchase50
264	com.wanmei.wmsjzszz.weekpurchase98	and.wmsjzszz.weekpurchase98
265	com.wanmei.wmsjzszz.act1purchase328	and.wmsjzszz.act1purchase328
266	com.wanmei.wmsjzszz.act1purchase648	and.wmsjzszz.act1purchase648
267	com.wanmei.wmsjzszz.act1purchase648	and.wmsjzszz.act1purchase648
268	com.wanmei.wmsjzszz.surprisepurchase168	and.wmsjzszz.surprisepurchase168
