2025-06-26 19:22:19 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:2610
2025-06-26 19:22:19 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:2640
2025-06-26 19:22:19 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:2670
2025-06-26 19:22:19 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:2700
2025-06-26 19:22:19 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:2730
2025-06-26 19:22:19 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:2760
2025-06-26 19:22:19 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:2790
2025-06-26 19:22:19 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:2820
2025-06-26 19:22:19 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:2850
2025-06-26 19:22:19 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:2880
2025-06-26 19:22:19 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:2910
2025-06-26 19:22:19 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:2940
2025-06-26 19:22:19 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:2970
2025-06-26 19:22:19 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:3000
2025-06-26 19:22:19 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:3030
2025-06-26 19:22:19 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:3060
2025-06-26 19:22:19 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:3090
2025-06-26 19:22:19 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:3120
2025-06-26 19:22:19 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:3150
2025-06-26 19:22:19 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:3180
2025-06-26 19:22:19 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:3210
2025-06-26 19:22:19 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:3240
2025-06-26 19:22:19 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:3270
2025-06-26 19:22:19 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:3300
2025-06-26 19:22:19 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:3330
2025-06-26 19:22:19 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:3360
2025-06-26 19:22:19 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:3390
2025-06-26 19:22:19 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:3420
2025-06-26 19:22:19 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:3450
2025-06-26 19:22:19 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:3480
2025-06-26 19:22:19 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:3510
2025-06-26 19:22:20 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:3540
2025-06-26 19:22:20 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:3570
2025-06-26 19:22:20 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:3600
2025-06-26 19:22:20 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:3630
2025-06-26 19:22:20 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:3660
2025-06-26 19:22:20 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:3690
2025-06-26 19:22:20 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:3720
2025-06-26 19:22:20 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:3750
2025-06-26 19:22:20 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:3780
2025-06-26 19:22:20 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:3810
2025-06-26 19:22:20 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:3840
2025-06-26 19:22:20 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:3870
2025-06-26 19:22:20 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:3900
2025-06-26 19:22:20 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:3930
2025-06-26 19:22:20 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:3960
2025-06-26 19:22:20 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:3990
2025-06-26 19:22:20 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:4020
2025-06-26 19:22:20 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:4050
2025-06-26 19:22:20 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:4080
2025-06-26 19:22:20 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:4110
2025-06-26 19:22:20 [Info] D:\TempProj\GITPFAI\AISystem\PFAI\PFAI\PFAI.cpp:63 - aisystem run totalTime:4140
